Stress_Period,Mean_Head,Median_Head,Std_Head,Q25_Head,Q75_Head,Min_Head,Max_Head,Valid_Runs
1,478.5060068666667,478.42615,0.3822151703114127,478.2752725,478.7131475,477.61548,479.9891,300
2,478.5060070333333,478.42615,0.3822154574000535,478.2752725,478.7131475,477.61548,479.9891,300
3,478.5059892,478.42615,0.38220537690796585,478.2752725,478.71307249999995,477.61548,479.9891,300
4,478.50594306666665,478.42614000000003,0.38218430577135104,478.2752425,478.71292,477.61548,479.9891,300
5,478.5058738666666,478.426105,0.38216074829454844,478.27522,478.71269,477.61545,479.9891,300
6,478.5082972,478.42856,0.3821113093949119,478.2777425,478.7148,477.61807,479.99167,300
7,478.50798823333326,478.42830000000004,0.3820667890014523,478.277465,478.714085,477.61792,479.99164,300
8,478.50763279999995,478.42804,0.3820238914014319,478.277145,478.71335,477.61774,479.99152,300
9,478.6396717333334,478.55678,0.38130858379051474,478.4108375,478.8416775,477.75443,480.12665,300
10,478.6483686333334,478.56489999999997,0.38107938729412516,478.4223725,478.8498325,477.76727,480.1432,300
11,478.6675078333334,478.579765,0.3810115662544122,478.4405875,478.862,477.78943,480.16852,300
12,478.65856613333335,478.57053,0.3813253541160297,478.432235,478.85055,477.78122,480.16342,300
13,478.64858276666666,478.55862,0.38152781762628835,478.4222975,478.840695,477.77142,480.15567,300
14,478.63930840000006,478.548315,0.3817129650869086,478.412655,478.8308925,477.7619,480.14755,300
15,478.6307292000001,478.53925000000004,0.38191410152898714,478.4026175,478.82255250000003,477.75284,480.13953,300
16,478.62286936666663,478.53064,0.38214747177138986,478.3938275,478.8141,477.7442,480.1318,300
17,478.61570706666663,478.52275,0.3824048593668695,478.38615,478.8062825,477.73602,480.12454,300
18,478.6099713666666,478.51662999999996,0.3826688731603326,478.37946,478.7999425,477.72916,480.1185,300
19,478.640258,478.547785,0.38281353817491975,478.4099175,478.831075,477.7595,480.14923,300
20,478.6332812,478.54139499999997,0.3831275381652445,478.40274,478.8243175,477.75226,480.1438,300
21,478.6594763333333,478.56645000000003,0.38335295866240765,478.42801499999996,478.8507625,477.7788,480.17148,300
22,478.6506244333333,478.55877499999997,0.3837544608053579,478.4184975,478.8409725,477.76965,480.16443,300
