Stress_Period,Mean_Head,Median_Head,Std_Head,Q25_Head,Q75_Head,Min_Head,Max_Head,Valid_Runs
1,480.37593143333334,480.400835,0.15410470299857412,480.29058249999997,480.48368,479.83057,480.843,300
2,480.37593163333327,480.400835,0.15410495125184032,480.29058249999997,480.48368,479.83057,480.843,300
3,480.3758090333333,480.400735,0.15404026339045016,480.2905525,480.48332000000005,479.8305,480.843,300
4,480.3755672333333,480.40054499999997,0.15393572939599925,480.29046500000004,480.48269500000004,479.83032,480.8429,300
5,480.37525853333335,480.40025,0.15382771051574387,480.2903425,480.48222250000003,479.83008,480.84274,300
6,480.3766255666667,480.40144499999997,0.15367932272759516,480.29195,480.483485,479.8315,480.8443,300
7,480.37585559999997,480.4008,0.15345678004563126,480.291525,480.482295,479.8309,480.84387,300
8,480.3751186666666,480.400415,0.1532634347071156,480.29109750000003,480.48118750000003,479.83026,480.8434,300
9,480.4698047666667,480.49547,0.1540089546864484,480.38475500000004,480.581655,479.92285,480.93546,300
10,480.47179743333334,480.4964,0.15198594606874793,480.389285,480.578665,479.9281,480.94052,300
11,480.4862292666667,480.51129000000003,0.1510080268533065,480.40470500000004,480.592155,479.94254,480.95627,300
12,480.4801286333334,480.50537499999996,0.14995982095370092,480.400135,480.58533750000004,479.93674,480.9519,300
13,480.4747304333333,480.50056500000005,0.14939946705219212,480.3959875,480.57964,479.93073,480.94754,300
14,480.4699953666667,480.49644,0.14910059619665605,480.391975,480.574655,479.9251,480.9435,300
15,480.46566836666665,480.49271,0.1489519198029984,480.3881,480.570055,479.91977,480.93967,300
16,480.46167140000006,480.48884499999997,0.14889419754322142,480.3845575,480.5655725,479.9148,480.93607,300
17,480.45796713333334,480.48535000000004,0.14888857296576613,480.38115,480.56134,479.9102,480.93265,300
18,480.45509380000004,480.4825,0.1489180745473627,480.378445,480.5584,479.90652,480.93,300
19,480.47797516666674,480.504665,0.1491926368993189,480.4007575,480.5824675,479.92813,480.9523,300
20,480.4728835333333,480.49974,0.14872205911088957,480.3964175,480.577015,479.92337,480.94818,300
21,480.4931606,480.519085,0.14886132944110614,480.41747499999997,480.59666500000003,479.94254,480.9681,300
22,480.4873563999999,480.51373,0.14843680573128382,480.41204500000003,480.590675,479.9369,480.96317,300
23,480.48506663333336,480.51149,0.14843207889917928,480.41036499999996,480.58806000000004,479.93387,480.961,300
24,480.5271991,480.551125,0.14900650443808383,480.4528275,480.62879,479.97424,481.00174,300
25,480.5408301,480.56436499999995,0.14845996481989124,480.4671375,480.64171500000003,479.98834,481.01614,300
26,480.60617033333335,480.62854,0.14875491330559762,480.53213500000004,480.704975,480.05206,481.0803,300
27,480.61308653333333,480.63562,0.14740381600210634,480.54085749999996,480.711015,480.06018,481.0892,300
28,480.6101006,480.632705,0.14658704889236646,480.5395725,480.70707000000004,480.0566,481.08752,300
29,480.6015254,480.62459,0.14617314568976206,480.532205,480.6969075,480.0467,481.07977,300
30,480.7627807333334,480.78475000000003,0.14853362212238688,480.68960500000003,480.86022,480.20236,481.23605,300
31,480.7403121666666,480.76201000000003,0.1452184244083334,480.670795,480.82999,480.1843,481.21872,300
32,480.76324653333336,480.78425000000004,0.144449002927154,480.69629,480.8544825,480.2059,481.24213,300
33,480.82253696666663,480.84557,0.1443763438164259,480.75420499999996,480.9137825,480.26352,481.30048,300
34,481.0011214666667,481.01673000000005,0.1462941352635678,480.923365,481.0904625,480.4384,481.47498,300
35,481.06965070000007,481.07991000000004,0.14391305158037804,480.9929075,481.15557,480.5106,481.5442,300
36,481.05688720000006,481.070475,0.1406517705546574,480.98226,481.1419975,480.502,481.52942,300
37,481.0938951666667,481.108575,0.14026619888972727,481.0242875,481.180125,480.5398,481.55768,300
38,481.0860901,481.10218999999995,0.13855534742593997,481.014745,481.1712625,480.53766,481.54227,300
39,481.0842067666666,481.09854,0.13724960137117143,481.01376,481.168285,480.54175,481.53235,300
40,481.0863361666667,481.0987,0.13611904597681676,481.016035,481.17206250000004,480.5489,481.52747,300
41,481.0876516000001,481.10004000000004,0.13492179702370846,481.01868,481.1729475,480.55392,481.5235,300
42,481.11549690000004,481.12699999999995,0.1340326831935284,481.04855249999997,481.19998,480.58353,481.54697,300
43,481.1445334,481.15682000000004,0.13285852163274994,481.0792075,481.2281825,480.61325,481.5738,300
44,481.13447323333327,481.14578,0.13098840876153636,481.07018500000004,481.2132675,480.60382,481.5644,300
45,481.1231892666667,481.13637,0.1297128904085056,481.06031,481.19928500000003,480.59128,481.554,300
46,481.1235598,481.13409,0.12917406520129016,481.061695,481.198965,480.58847,481.55533,300
47,481.1081712666667,481.1165,0.12879404609322018,481.0451875,481.181615,480.5691,481.54227,300
48,481.09212963333334,481.09765,0.1290074787348854,481.03128,481.1642,480.54745,481.5288,300
49,481.0766094333333,481.08145,0.12968832651146875,481.01809,481.14912749999996,480.52548,481.51602,300
50,481.0590699333334,481.06375,0.1306625036445507,481.00011,481.13025,480.50116,481.5015,300
51,481.0891400666667,481.09335,0.13267132045520888,481.033835,481.1651025,480.52325,481.53308,300
52,481.0662029666666,481.06770500000005,0.13338998562185553,481.00935000000004,481.1407875,480.49536,481.51465,300
53,481.0457572,481.04825,0.1345978958162418,480.9859675,481.1202775,480.46875,481.49777,300
54,481.0259945333334,481.02841,0.13589699159577442,480.96452999999997,481.1010675,480.44308,481.4812,300
55,481.0771965333332,481.077135,0.13851344008187746,481.01418,481.155725,480.48724,481.53308,300
56,481.0611932666666,481.059415,0.13907703526701373,480.99572,481.14398500000004,480.46857,481.52148,300
57,481.0387132000001,481.036115,0.1398296445956994,480.9745275,481.121425,480.44254,481.50247,300
58,481.01816053333323,481.01305,0.14070836641927845,480.95295,481.103135,480.41837,481.48456,300
59,480.99898333333334,480.992865,0.14140296830296295,480.9341875,481.084155,480.3963,481.4675,300
60,480.9810864666667,480.975075,0.14183613661140423,480.9157275,481.06595,480.37662,481.45142,300
61,480.9655197,480.95874000000003,0.14204806030440204,480.8992525,481.04981749999996,480.36038,481.43744,300
62,480.9492644333333,480.94171,0.1421436492449772,480.88307,481.032865,480.34393,481.4228,300
63,480.9333897,480.925825,0.14236162458416637,480.867325,481.01642000000004,480.32736,481.4085,300
64,480.9177541666667,480.90989,0.1426998452100499,480.85165,481.0004075,480.31046,481.39447,300
65,480.94187333333326,480.93242,0.1439180678125206,480.8746375,481.02565,480.33203,481.41898,300
