Row,Column
7,138
7,139
8,138
8,139
8,140
8,141
8,142
8,143
8,144
9,138
9,139
9,140
9,141
9,142
9,143
9,144
9,145
9,146
10,138
10,139
10,140
10,141
10,142
10,143
10,144
10,145
10,146
11,138
11,139
11,140
11,141
11,142
11,143
11,144
11,145
11,146
12,137
12,138
12,139
12,140
12,141
12,142
12,143
12,144
12,145
12,146
12,147
13,136
13,137
13,138
13,139
13,140
13,141
13,142
13,143
13,144
13,145
13,146
13,147
14,136
14,137
14,138
14,139
14,140
14,141
14,142
14,143
14,144
14,145
14,146
14,147
14,148
15,136
15,137
15,138
15,139
15,140
15,141
15,142
15,143
15,144
15,145
15,146
15,147
15,148
16,135
16,136
16,137
16,138
16,139
16,140
16,141
16,142
16,143
16,144
16,145
16,146
16,147
16,148
17,135
17,136
17,137
17,138
17,139
17,140
17,141
17,142
17,143
17,144
17,145
17,146
17,147
17,148
18,135
18,136
18,137
18,138
18,139
18,140
18,141
18,142
18,143
18,144
18,145
18,146
18,147
18,148
18,149
19,135
19,136
19,137
19,138
19,139
19,140
19,141
19,142
19,143
19,144
19,145
19,146
19,147
19,148
19,149
20,135
20,136
20,137
20,138
20,139
20,140
20,141
20,142
20,143
20,144
20,145
20,146
20,147
20,148
20,149
21,134
21,135
21,136
21,137
21,138
21,139
21,140
21,141
21,142
21,143
21,144
21,145
21,146
21,147
21,148
21,149
22,133
22,134
22,135
22,136
22,137
22,138
22,139
22,140
22,141
22,142
22,143
22,144
22,145
22,146
22,147
22,148
23,133
23,134
23,135
23,136
23,137
23,138
23,139
23,140
23,141
23,142
23,143
23,144
23,145
23,146
23,147
23,148
24,132
24,133
24,134
24,135
24,136
24,137
24,138
24,139
24,140
24,141
24,142
24,143
24,144
24,145
24,146
24,147
24,148
25,132
25,133
25,134
25,135
25,136
25,137
25,138
25,139
25,140
25,141
25,142
25,143
25,144
25,145
25,146
25,147
26,131
26,132
26,133
26,134
26,135
26,136
26,137
26,138
26,139
26,140
26,141
26,142
26,143
26,144
26,145
26,146
26,147
27,131
27,132
27,133
27,134
27,135
27,136
27,137
27,138
27,139
27,140
27,141
27,142
27,143
27,144
27,145
27,146
27,147
28,131
28,132
28,133
28,134
28,135
28,136
28,137
28,138
28,139
28,140
28,141
28,142
28,143
28,144
28,145
28,146
28,147
29,131
29,132
29,133
29,134
29,135
29,136
29,137
29,138
29,139
29,140
29,141
29,142
29,143
29,144
29,145
29,146
29,147
30,132
30,133
30,134
30,135
30,136
30,137
30,138
30,139
30,140
30,141
30,142
30,143
30,144
30,145
30,146
30,147
31,132
31,133
31,134
31,135
31,136
31,137
31,138
31,139
31,140
31,141
31,142
31,143
31,144
31,145
31,146
31,147
32,133
32,134
32,135
32,136
32,137
32,138
32,139
32,140
32,141
32,142
32,143
32,144
32,145
32,146
33,134
33,135
33,136
33,137
33,138
33,139
33,140
33,141
33,142
33,143
33,144
33,145
34,134
34,135
34,136
34,137
34,138
34,139
34,140
34,141
34,142
34,143
34,144
34,145
35,135
35,136
35,137
35,138
35,139
35,140
35,141
35,142
35,143
35,144
36,136
36,137
36,138
36,139
36,140
36,141
36,142
36,143
36,144
37,136
37,137
37,138
37,139
37,140
37,141
37,142
37,143
38,135
38,136
38,137
38,138
38,139
38,140
38,141
38,142
38,143
39,135
39,136
39,137
39,138
39,139
39,140
39,141
39,142
40,135
40,136
40,137
40,138
40,139
40,140
40,141
40,142
41,134
41,135
41,136
41,137
41,138
41,139
41,140
41,141
42,134
42,135
42,136
42,137
42,138
42,139
42,140
42,141
43,134
43,135
43,136
43,137
43,138
43,139
43,140
44,134
44,135
44,136
44,137
44,138
44,139
45,133
45,134
45,135
45,136
45,137
45,138
45,139
46,133
46,134
46,135
46,136
46,137
46,138
46,139
47,133
47,134
47,135
47,136
47,137
47,138
47,139
48,132
48,133
48,134
48,135
48,136
48,137
48,138
48,139
48,140
48,141
49,132
49,133
49,134
49,135
49,136
49,137
49,138
49,139
49,140
50,131
50,132
50,133
50,134
50,135
50,136
50,137
50,138
51,131
51,132
51,133
51,134
51,135
52,130
52,131
52,132
52,133
52,134
52,135
53,130
53,131
53,132
53,133
53,134
53,135
54,129
54,130
