Row,Column
1,43
1,44
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,55
2,56
3,42
3,43
3,44
3,45
3,46
3,50
3,53
3,54
3,55
3,59
3,60
3,61
3,69
3,70
3,71
4,45
4,59
4,60
4,61
4,70
4,71
5,60
5,61
5,67
5,68
5,70
5,71
6,67
6,68
6,70
6,71
6,72
7,68
7,71
7,72
8,68
8,71
8,72
8,73
9,72
9,73
10,72
10,73
10,74
11,72
11,73
11,74
12,73
12,74
12,133
13,73
13,74
13,132
13,133
14,73
14,74
14,75
14,131
14,132
15,74
15,75
15,111
15,131
15,132
15,133
15,134
16,74
16,75
16,76
16,107
16,111
16,112
16,131
16,132
16,133
16,134
17,75
17,76
17,106
17,107
17,108
17,109
17,111
17,112
17,118
17,119
17,122
17,123
17,124
17,127
17,128
17,129
17,130
17,131
17,132
17,133
17,133
17,134
17,134
18,75
18,76
18,107
18,108
18,109
18,118
18,119
18,120
18,121
18,122
18,123
18,124
18,125
18,126
18,127
18,128
18,129
18,130
18,131
18,132
18,133
18,134
19,75
19,76
19,77
19,108
19,117
19,118
19,119
19,120
19,121
19,122
19,123
19,124
19,125
19,126
19,128
19,129
19,130
19,131
19,132
19,133
20,76
20,77
20,117
20,118
20,119
20,120
20,121
20,122
20,123
20,124
20,125
20,126
20,127
20,128
20,129
20,130
20,131
20,132
20,133
20,134
21,76
21,77
21,119
21,120
21,121
21,122
21,123
21,124
21,125
21,126
21,127
21,128
21,129
21,130
21,131
21,132
21,133
21,134
21,135
22,76
22,77
22,78
22,120
22,121
22,122
22,123
22,124
22,125
22,126
22,127
22,128
22,130
22,131
22,132
22,133
22,134
22,134
22,135
23,77
23,78
23,119
23,120
23,121
23,122
23,123
23,124
23,125
23,126
23,127
23,128
23,129
23,130
23,131
23,132
23,133
23,134
23,135
23,135
24,77
24,78
24,120
24,121
24,122
24,123
24,125
24,126
24,127
24,128
24,129
24,130
24,131
24,132
24,133
24,134
25,77
25,78
25,79
25,124
25,125
25,126
25,127
25,128
25,129
25,130
25,131
25,132
25,133
25,134
25,135
25,136
26,77
26,78
26,79
26,124
26,125
26,126
26,127
26,128
26,129
26,130
26,131
26,132
26,133
26,134
26,135
27,78
27,79
27,126
27,127
27,128
27,129
27,130
27,131
27,132
27,133
27,134
27,135
28,78
28,79
28,125
28,126
28,127
28,128
28,129
28,130
28,131
28,132
28,133
28,134
29,78
29,79
29,80
29,121
29,122
29,124
29,125
29,126
29,127
29,128
29,129
29,130
29,131
29,132
29,133
29,134
30,78
30,79
30,80
30,120
30,121
30,122
30,123
30,124
30,125
30,126
30,127
30,128
30,129
30,130
30,132
30,133
31,79
31,80
31,120
31,121
31,122
31,123
31,124
31,125
32,73
32,74
32,75
32,79
32,80
32,81
32,120
32,121
32,122
32,123
32,124
32,125
33,70
33,71
33,72
33,73
33,74
33,75
33,76
33,79
33,80
33,81
33,82
33,124
34,70
34,71
34,72
34,73
34,74
34,75
34,79
34,80
34,81
34,82
35,70
35,71
35,72
35,73
35,74
35,79
35,80
35,81
35,82
35,83
35,84
36,70
36,71
36,72
36,73
36,74
36,75
36,79
36,80
36,81
36,82
37,71
37,72
37,73
37,74
37,79
37,80
37,81
37,82
38,70
38,71
38,72
38,73
38,74
38,76
38,77
38,80
38,81
38,82
39,70
39,71
39,72
39,73
39,74
39,76
39,77
39,81
39,82
40,71
40,72
40,73
40,74
40,76
40,77
40,78
40,80
40,81
40,82
40,83
41,71
41,72
41,73
41,74
41,76
41,77
41,78
41,79
41,80
41,80
41,81
41,81
41,82
41,83
42,71
42,72
42,73
42,74
42,77
42,78
42,79
42,80
42,81
42,82
42,83
43,72
43,74
43,75
43,76
43,77
43,78
43,79
43,80
43,81
43,82
43,83
44,74
44,75
44,76
44,76
44,77
44,78
44,81
44,82
44,83
44,84
45,74
45,75
45,76
45,76
45,77
45,78
45,83
45,84
45,116
46,75
46,77
46,83
46,84
46,115
46,116
46,117
47,75
47,83
47,84
47,114
47,115
47,116
47,117
47,120
47,121
47,122
47,123
47,124
47,125
48,83
48,84
48,85
48,114
48,115
48,116
48,117
48,118
48,120
48,121
48,122
48,123
48,124
48,125
48,126
48,127
48,133
48,134
48,135
48,136
49,84
49,85
49,114
49,115
49,116
49,117
49,118
49,120
49,121
49,122
49,123
49,124
49,125
49,126
49,127
49,128
49,129
49,130
49,131
49,132
49,133
49,134
49,135
49,136
49,140
50,84
50,85
50,112
50,113
50,114
50,115
50,116
50,117
50,118
50,120
50,121
50,122
50,123
50,124
50,125
50,126
50,127
50,128
50,129
50,130
50,131
50,132
50,133
50,134
50,135
50,136
50,138
50,139
50,140
50,141
51,84
51,85
51,112
51,113
51,114
51,115
51,116
51,117
51,120
51,121
51,122
51,123
51,124
51,125
51,126
51,127
51,128
51,129
51,130
51,131
51,132
51,133
51,134
51,135
51,138
51,139
51,140
52,84
52,85
52,86
52,111
52,112
52,113
52,114
52,115
52,116
52,117
52,120
52,121
52,122
52,123
52,124
52,125
52,126
52,127
52,128
52,129
52,130
52,131
52,132
52,133
52,134
52,135
52,139
52,140
53,85
53,86
53,110
53,111
53,112
53,113
53,114
53,115
53,116
53,117
53,119
53,120
53,121
53,122
53,123
53,124
53,125
53,126
53,127
53,128
53,129
53,130
53,131
53,132
53,133
53,134
54,85
54,86
54,110
54,111
54,112
54,113
54,114
54,115
54,116
54,117
54,119
54,120
54,121
54,122
54,123
54,124
54,125
54,126
54,127
54,128
54,129
54,130
54,131
54,132
54,133
55,85
55,86
55,87
55,109
55,110
55,111
55,112
55,113
55,114
55,115
55,116
55,117
55,119
55,120
55,121
55,122
55,123
55,124
55,125
55,126
55,127
55,128
55,129
55,130
55,131
55,132
56,85
56,86
56,87
56,109
56,110
56,111
56,112
56,113
56,114
56,115
56,116
56,119
56,120
56,121
56,122
56,123
56,124
56,125
56,126
56,127
56,128
56,129
56,130
56,131
56,132
57,86
57,87
57,110
57,111
57,112
57,113
57,114
57,115
57,116
57,118
57,119
57,120
57,121
57,122
57,123
57,124
57,125
57,126
57,127
57,128
57,129
57,130
57,131
57,132
58,85
58,86
58,87
58,110
58,111
58,112
58,113
58,114
58,115
58,116
58,118
58,119
58,120
58,121
58,122
58,123
58,124
58,125
58,126
58,127
58,128
58,129
58,130
58,131
58,132
59,85
59,86
59,87
59,110
59,111
59,112
59,113
59,114
59,115
59,116
59,119
59,120
59,121
59,122
59,123
59,124
59,125
59,126
59,127
59,128
59,129
59,130
59,131
59,132
60,86
60,87
60,88
60,107
60,110
60,111
60,112
60,113
60,114
60,115
60,118
60,119
60,120
60,121
60,122
60,123
60,124
60,125
60,126
60,127
60,128
60,129
60,130
60,130
60,131
60,132
61,20
61,21
61,22
61,23
61,84
61,85
61,86
61,87
61,88
61,89
61,92
61,106
61,107
61,110
61,111
61,112
61,113
61,114
61,115
61,118
61,119
61,120
61,121
61,122
61,123
61,124
61,125
61,126
61,127
61,127
61,128
61,129
61,130
61,131
61,132
62,20
62,21
62,84
62,85
62,86
62,87
62,88
62,89
62,91
62,92
62,93
62,106
62,107
62,110
62,111
62,112
62,113
62,114
62,115
62,119
62,120
62,121
62,122
62,123
62,124
62,125
62,126
62,127
62,127
62,128
62,129
62,130
62,131
62,132
62,133
63,87
63,88
63,89
63,92
63,100
63,101
63,102
63,105
63,106
63,110
63,111
63,112
63,113
63,114
63,115
63,117
63,118
63,119
63,120
63,121
63,122
63,123
63,124
63,125
63,126
63,126
63,127
63,128
63,129
63,130
63,131
63,132
63,133
64,77
64,78
64,87
64,88
64,89
64,100
64,101
64,102
64,103
64,104
64,105
64,106
64,109
64,110
64,111
64,112
64,113
64,114
64,115
64,117
64,118
64,119
64,120
64,121
64,122
64,123
64,124
64,125
64,126
64,126
64,127
64,128
64,129
64,130
64,131
64,132
64,133
65,88
65,89
65,103
65,104
65,105
65,106
65,107
65,109
65,110
65,111
65,112
65,113
65,114
65,117
65,118
65,119
65,120
65,121
65,122
65,123
65,124
65,125
65,126
65,126
65,127
65,128
65,129
65,130
65,131
65,132
65,133
66,26
66,27
66,28
66,88
66,89
66,104
66,105
66,109
66,110
66,111
66,112
66,113
66,114
66,115
66,116
66,117
66,118
66,119
66,120
66,121
66,122
66,123
66,124
66,125
66,126
66,126
66,127
66,128
66,129
66,130
66,131
66,132
66,133
67,26
67,27
67,28
67,88
67,89
67,104
67,114
67,116
67,117
67,118
67,119
67,120
67,121
67,122
67,123
67,124
67,125
67,126
67,127
67,128
67,129
67,130
67,131
67,132
68,88
68,89
68,103
68,104
68,105
68,106
68,107
68,108
68,120
68,121
68,122
68,123
68,124
68,125
68,127
68,128
68,129
68,130
68,131
68,132
68,132
68,133
69,79
69,80
69,88
69,89
69,90
69,102
69,103
69,104
69,105
69,106
69,107
