MSB_5,U6_333,GWM_3,GAR_05,U6_305,U8_1045,MPG_53,Poststrasse,U6_310,MPG_40,MPG_26,MPG_42,34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469.0099167,471.4924583,471.3851667,473.9515833,476.0616667,477.106625,477.2325417,478.2257083,478.4819583,NA,478.665,479.3895,481.0092083
468.9950417,471.4717083,471.3664583,473.9365833,476.055625,477.091,477.215875,478.2129583,478.4594167,478.8550667,478.42625,479.36975,480.9876667
468.9776667,471.4545833,471.348,473.9220833,476.0496667,477.076875,477.199375,478.20225,478.4376667,478.8387083,478.283,479.3497083,480.9645417
468.9654167,471.441,471.3252917,473.9070833,476.042875,477.06225,477.1825833,478.1924583,478.4175417,478.8186667,478.283,479.3281667,480.9414583
468.9544167,471.4308333,471.3090417,473.8925417,476.0366667,477.047875,477.1674583,478.1839583,478.3993333,478.7989583,478.283,479.3065833,480.9192917
468.9449583,471.4240417,471.2974167,473.87875,476.028,477.033875,477.152875,478.1762917,478.3820833,478.7797917,478.283,479.2866667,480.8972917
468.9354167,471.4202917,471.2880417,473.8660417,476.022,477.022875,477.139875,478.1705,478.3702917,478.7621667,478.283,479.2641667,480.8743333
468.930125,471.4245833,471.2794167,473.8568333,476.0240833,477.0170833,477.1315417,478.1708333,478.3712083,478.748375,478.283,479.2435833,480.8535
468.9325833,471.435875,471.2869167,473.849,476.024625,477.0097917,477.1192083,478.169125,478.362375,478.7329583,478.283,479.2246667,480.8343333
468.9415,471.4377917,471.2791667,473.8432083,476.021625,477.0010833,477.1112083,478.1660417,478.35425,478.7175833,478.3168333,479.2065417,480.8147917
468.9341667,471.4219167,471.25675,473.8334167,476.0135417,476.98775,477.0994583,478.15925,478.33975,478.6997917,478.4786667,479.1882917,480.7956667
468.93675,471.4210417,471.260375,473.8260417,476.0154583,476.9862083,477.0927083,478.1620833,478.3411667,478.6897083,478.4652917,479.1712917,480.7772917
468.9694167,471.4571667,471.2975833,473.8355,476.0479167,477.011,477.1075417,478.1904583,478.3919583,478.6972083,478.4640417,479.1593333,480.7649583
468.9647083,471.4457083,471.26975,473.833875,476.0346667,477.0005417,477.0992083,478.1850417,478.3728333,478.6797083,478.45175,479.147375,480.755125
468.9499583,471.4210417,471.2384583,473.8265,476.0209167,476.9837917,477.0854167,478.1715,478.343,478.6604583,478.4374583,479.1341667,480.7419583
